symbol,Name,Sector,Industry
CSX,CSX Corporation,Transportation,Railroads
CTAS,Cintas Corporation,Consumer Non-Durables,Apparel
CTB,Cooper Tire & Rubber Company,Consumer Durables,Automotive Aftermarket
CTCM,"CTC Media, Inc.",Consumer Services,Broadcasting
CSH,"Cash America International, Inc.",Consumer Services,Other Specialty Stores
CTIC,CTI BioPharma Corp.,Health Care,Major Pharmaceuticals
CSCO,"Cisco Systems, Inc.",Technology,Computer Software
CTRP,"Ctrip.com International, Ltd.",Miscellaneous,Business Services
CTS,CTS Corporation,Technology,Electrical Products
CTSH,Cognizant Technology Solutions Corporation,Technology,EDP Services
CTXS,"Citrix Systems, Inc.",Technology,Computer Software
CUB,Cubic Corporation,Capital Goods,Industrial Machinery/Components
CURE,#N/A,ETF,Healthcare
CVC,Cablevision Systems Corporation,Consumer Services,Television Services
CTG,"Computer Task Group, Incorporated",Technology,EDP Services
CPHD,CEPHEID,Capital Goods,Biotechnology: Laboratory Analytical Instruments
COL,"Rockwell Collins, Inc.",Capital Goods,Military/Government/Technical
COO,"Cooper Companies, Inc. (The)",Health Care,Ophthalmic Goods
COP,ConocoPhillips,Energy,Integrated oil Companies
CORE,"Core-Mark Holding Company, Inc.",Consumer Non-Durables,Food Distributors
COST,Costco Wholesale Corporation,Consumer Services,Department/Specialty Retail Stores
COT,Cott Corporation,Consumer Non-Durables,Beverages (Production/Distribution)
CSIQ,Canadian Solar Inc.,Technology,Semiconductors
CPB,Campbell Soup Company,Consumer Non-Durables,Packaged Foods
CVS,CVS Health Corporation,Health Care,Medical/Nursing Services
CPN,Calpine Corporation,Public Utilities,Electric Utilities: Central
CRM,Salesforce.com Inc,Technology,Computer Software
CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket
CROX,"Crocs, Inc.",Consumer Non-Durables,Shoe Manufacturing
CRUS,"Cirrus Logic, Inc.",Technology,Semiconductors
CS,Credit Suisse Group,Finance,Investment Bankers/Brokers/Service
CSC,Computer Sciences Corporation,Technology,EDP Services
CPA,"Copa Holdings, S.A.",Transportation,Air Freight/Delivery Services
DHR,Danaher Corporation,Capital Goods,Industrial Machinery/Components
DENN,Denny&#39;s Corporation,Consumer Services,Restaurants
DEST,Destination Maternity Corporation,Consumer Services,Clothing/Shoe/Accessory Stores
DF,Dean Foods Company,Consumer Non-Durables,Specialty Foods
DFS,Discover Financial Services,Finance,Finance: Consumer Services
DG,Dollar General Corporation,Consumer Services,Department/Specialty Retail Stores
DGP,Gold Double,ETF,ETF
CVI,CVR Energy Inc.,Energy,Integrated oil Companies
KFY,Korn/Ferry International,Technology,Diversified Commercial Services
DDS,"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores
JWN,"Nordstrom, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
DIG,#N/A,ETF,ETF
DIN,"DineEquity, Inc",Consumer Services,Restaurants
DIOD,Diodes Incorporated,Technology,Semiconductors
DIS,Walt Disney Company (The),Consumer Services,Television Services
DISH,DISH Network Corporation,Consumer Services,Television Services
DKS,Dick&#39;s Sporting Goods Inc,Consumer Services,Other Specialty Stores
DGX,Quest Diagnostics Incorporated,Health Care,Medical Specialities
DAC,Danaos Corporation,Transportation,Marine Transportation
COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas Production
CVTI,"Covenant Transportation Group, Inc.",Transportation,Trucking Freight/Courier Services
CW,Curtiss-Wright Corporation,Technology,Industrial Machinery/Components
CXO,Concho Resources Inc.,Energy,Oil & Gas Production
CY,Cypress Semiconductor Corporation,Technology,Semiconductors
CYCC,"Cyclacel Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals
CYD,China Yuchai International Limited,Energy,Industrial Machinery/Components
DECK,Deckers Outdoor Corporation,Consumer Non-Durables,Shoe Manufacturing
D,"Dominion Resources, Inc.",Public Utilities,Electric Utilities: Central
DE,Deere & Company,Capital Goods,Industrial Machinery/Components
DAL,"Delta Air Lines, Inc.",Transportation,Airlines
DAVE,"Famous Dave&#39;s of America, Inc.",Consumer Services,Restaurants
DBA,#N/A,ETF,ETF
DCO,Ducommun Incorporated,Capital Goods,Military/Government/Technical
DD,E.I. du Pont de Nemours and Company,Basic Industries,Major Chemicals
DDD,3D Systems Corporation,Technology,Computer Software
CVOL,#N/A,ETF,ETF
CYH,"Community Health Systems, Inc.",Health Care,Hospital/Nursing Management
CB,Chubb Corporation (The),Finance,Property-Casualty Insurers
CAE,CAE Inc,Miscellaneous,Industrial Machinery/Components
CAG,"ConAgra Foods, Inc.",Consumer Non-Durables,Packaged Foods
CAH,"Cardinal Health, Inc.",Health Care,Other Pharmaceuticals
CAJ,"Canon, Inc.",Miscellaneous,Industrial Machinery/Components
CAM,Cameron International Corporation,Energy,Metal Fabrications
CAR,"Avis Budget Group, Inc.",Consumer Services,Rental/Leasing Companies
CCMP,Cabot Microelectronics Corporation,Technology,Semiconductors
CATM,"Cardtronics, Inc.",Miscellaneous,Business Services
C,Citigroup Inc.,Finance,Major Banks
CBG,"CBRE Group, Inc.",Finance,Real Estate
CBI,Chicago Bridge & Iron Company N.V.,Basic Industries,Engineering & Construction
CBR,"Ciber, Inc.",Technology,EDP Services
CBS,CBS Corporation,Consumer Services,Broadcasting
CCE,"Coca-Cola Enterprises, Inc.",Consumer Non-Durables,Beverages (Production/Distribution)
CCJ,Cameco Corporation,Basic Industries,Precious Metals
COHU,"Cohu, Inc.",Capital Goods,Electrical Products
CAT,"Caterpillar, Inc.",Capital Goods,Construction/Ag Equipment/Trucks
BRCM,Broadcom Corporation,Technology,Semiconductors
BMA,Macro Bank Inc.,Finance,Commercial Banks
BMI,"Badger Meter, Inc.",Capital Goods,Industrial Machinery/Components
BMRN,BioMarin Pharmaceutical Inc.,Health Care,Major Pharmaceuticals
BMS,"Bemis Company, Inc.",Consumer Durables,Containers/Packaging
BMY,Bristol-Myers Squibb Company,Health Care,Major Pharmaceuticals
BOIL,Proshares Natural Gas ETF,ETF,ETF
BOOM,Dynamic Materials Corporation,Capital Goods,Industrial Specialties
CAAS,"China Automotive Systems, Inc.",Capital Goods,Auto Parts:O.E.M.
BPOP,"Popular, Inc.",Finance,Major Banks
CA,CA Inc.,Technology,Computer Software
BSX,Boston Scientific Corporation,Health Care,Medical/Dental Instruments
BT,BT Group plc,Public Utilities,Telecommunications Equipment
BTU,Peabody Energy Corporation,Energy,Coal Mining
BUFF,"Blue Buffalo Pet Products, Inc",Consumer Goods,Food
BWA,BorgWarner Inc.,Capital Goods,Auto Parts:O.E.M.
BXP,"Boston Properties, Inc.",Consumer Services,Real Estate Investment Trusts
CDI,CDI Corporation,Technology,Professional Services
BP,BP p.l.c.,Energy,Integrated oil Companies
CMS,CMS Energy Corporation,Public Utilities,Power Generation
CLH,"Clean Harbors, Inc.",Basic Industries,Environmental Services
CLX,Clorox Company (The),Consumer Durables,Specialty Chemicals
CMA,Comerica Incorporated,Finance,Major Banks
CMCSA,Comcast Corporation,Consumer Services,Television Services
CME,CME Group Inc.,Finance,Investment Bankers/Brokers/Service
CMG,"Chipotle Mexican Grill, Inc.",Consumer Services,Restaurants
CCL,Carnival Corporation,Consumer Services,Marine Transportation
CMPR,Cimpress N.V,Miscellaneous,Publishing
CL,Colgate-Palmolive Company,Consumer Non-Durables,Package Goods/Cosmetics
CNL,Cleco Corporation,Public Utilities,Electric Utilities: Central
CNP,"CenterPoint Energy, Inc.",Public Utilities,Electric Utilities: Central
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas Production
CNS,Cohn & Steers Inc,Finance,Investment Managers
CNX,CONSOL Energy Inc.,Energy,Coal Mining
COF,Capital One Financial Corporation,Finance,Major Banks
DLB,Dolby Laboratories,Technology,Radio And Television Broadcasting And Communications Equipment
CMI,Cummins Inc.,Energy,Industrial Machinery/Components
CHL,China Mobile (Hong Kong) Ltd.,Public Utilities,Telecommunications Equipment
CE,Celanese Corporation,Basic Industries,Major Chemicals
CEA,China Eastern Airlines Corporation Ltd.,Transportation,Air Freight/Delivery Services
CELG,Celgene Corporation,Health Care,Major Pharmaceuticals
CEO,CNOOC Limited,Energy,Oil & Gas Production
CERS,Cerus Corporation,Health Care,Medical/Dental Instruments
CF,"CF Industries Holdings, Inc.",Basic Industries,Agricultural Chemicals
CGA,"China Green Agriculture, Inc.",Basic Industries,Agricultural Chemicals
CLF,Cliffs Natural Resources Inc.,Basic Industries,Precious Metals
CHK,Chesapeake Energy Corporation,Energy,Oil & Gas Production
CLCT,"Collectors Universe, Inc.",Miscellaneous,Business Services
CHRW,"C.H. Robinson Worldwide, Inc.",Transportation,Oil Refining/Marketing
CI,Cigna Corporation,Health Care,Medical Specialities
CIM,Chimera Investment Corporation,Consumer Services,Real Estate Investment Trusts
CINF,Cincinnati Financial Corporation,Finance,Property-Casualty Insurers
CISG,CNinsure Inc.,Finance,Specialty Insurers
CKP,"Checkpoint Systms, Inc.",Consumer Durables,Telecommunications Equipment
COH,"Coach, Inc.",Consumer Non-Durables,Apparel
CHDN,"Churchill Downs, Incorporated",Consumer Services,Services-Misc. Amusement & Recreation
STT,State Street Corporation,Finance,Major Banks
TMO,Thermo Fisher Scientific Inc,Capital Goods,Industrial Machinery/Components
SSO,#N/A,ETF,ETF
STI,"SunTrust Banks, Inc.",Finance,Major Banks
STJ,"St. Jude Medical, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
STLD,"Steel Dynamics, Inc.",Basic Industries,Steel/Iron Ore
STN,Stantec Inc,Consumer Services,Military/Government/Technical
SSG,#N/A,ETF,ETF
STR,Questar Corporation,Public Utilities,Oil & Gas Production
SRTY,#N/A,ETF,ETF
STX,Seagate Technology.,Technology,Electronic Components
STZ,Constellation Brands Inc,Consumer Non-Durables,Beverages (Production/Distribution)
SU,Suncor Energy  Inc.,Energy,Integrated oil Companies
SVU,SuperValu Inc.,Consumer Services,Food Chains
SVXY,#N/A,ETF,ETF
SWC,Stillwater Mining Company,Basic Industries,Precious Metals
SWK,"Stanley Black & Decker, Inc.",Capital Goods,Industrial Machinery/Components
STO,Statoil ASA,Energy,Integrated oil Companies
SPLS,"Staples, Inc.",Consumer Services,Other Specialty Stores
SNX,Synnex Corporation,Technology,Retail: Computer Software & Peripheral Equipment
SNY,Sanofi,Health Care,Major Pharmaceuticals
SO,Southern Company (The),Public Utilities,Electric Utilities: Central
SORL,"SORL Auto Parts, Inc.",Capital Goods,Auto Parts:O.E.M.
SOXL,#N/A,ETF,ETF
SOXS,#N/A,ETF,ETF
SSL,Sasol Ltd.,Energy,Oil & Gas Production
SPGH,#N/A,ETF,ETF
SYK,Stryker Corporation,Health Care,Medical/Dental Instruments
SPXL,#N/A,ETF,ETF
SPXU,#N/A,ETF,ETF
SPY,SP500 Index,ETF,SP500
SQQQ,ProShares UltraPro Short QQQ,ETF,n/a
SRCL,"Stericycle, Inc.",Basic Industries,Environmental Services
SRE,Sempra Energy,Public Utilities,Natural Gas Distribution
SRS,#N/A,ETF,ETF
SPG,"Simon Property Group, Inc.",Consumer Services,Real Estate Investment Trusts
THO,"Thor Industries, Inc.",Consumer Non-Durables,Homebuilding
TECS,#N/A,ETF,ETF
TEN,Tenneco Inc.,Capital Goods,Auto Parts:O.E.M.
TER,"Teradyne, Inc.",Capital Goods,Electrical Products
TEVA,Teva Pharmaceutical Industries Limited,Health Care,Major Pharmaceuticals
TGI,"Triumph Group, Inc.",Capital Goods,Aerospace
TGS,Transportadora De Gas Sa Ord B,Public Utilities,Natural Gas Distribution
SWN,Southwestern Energy Company,Energy,Oil & Gas Production
THC,Tenet Healthcare Corporation,Health Care,Hospital/Nursing Management
TDY,Teledyne Technologies Incorporated,Capital Goods,Industrial Machinery/Components
TIF,Tiffany & Co.,Consumer Services,Consumer Specialties
TILE,"Interface, Inc.",Consumer Durables,Home Furnishings
TJX,"TJX Companies, Inc. (The)",Consumer Services,Clothing/Shoe/Accessory Stores
TKR,Timken Company (The),Capital Goods,Metal Fabrications
TLT,#N/A,ETF,ETF
TMF,#N/A,ETF,ETF
KEY,KeyCorp,Finance,Major Banks
TGT,Target Corporation,Consumer Services,Department/Specialty Retail Stores
TAST,"Carrols Restaurant Group, Inc.",Consumer Services,Restaurants
SNE,Sony Corp Ord,Consumer Non-Durables,Consumer Electronics/Appliances
SYKE,"Sykes Enterprises, Incorporated",Technology,EDP Services
SYMC,Symantec Corporation,Technology,Computer Software
SYNT,"Syntel, Inc.",Technology,EDP Services
SYUT,"Synutra International, Inc.",Consumer Non-Durables,Packaged Foods
SYX,Systemax Inc.,Consumer Services,Catalog/Specialty Distribution
SYY,Sysco Corporation,Consumer Non-Durables,Food Distributors
TECL,#N/A,ETF,ETF
TAP,Molson Coors Brewing  Company,Consumer Non-Durables,Beverages (Production/Distribution)
TE,"TECO Energy, Inc.",Public Utilities,Electric Utilities: Central
TAYD,"Taylor Devices, Inc.",Capital Goods,Industrial Machinery/Components
TBT,#N/A,ETF,ETF
TCK,Teck Resources Ltd,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
TD,Toronto Dominion Bank (The),Finance,Commercial Banks
TDC,Teradata Corporation,Technology,Computer Manufacturing
TDW,Tidewater Inc.,Consumer Services,Marine Transportation
SXL,Sunoco Logistics Partners LP,Energy,Natural Gas Distribution
TAL,"TAL International Group, Inc.",Technology,Diversified Commercial Services
SCOR,"comScore, Inc.",Miscellaneous,Business Services
SBND,#N/A,ETF,ETF
SBUX,Starbucks Corporation,Consumer Services,Restaurants
SCC,#N/A,ETF,ETF
SCG,Scana Corporation,Public Utilities,Power Generation
SCHW,The Charles Schwab Corporation,Finance,Investment Bankers/Brokers/Service
SCI,Service Corporation International,Consumer Services,Other Consumer Services
SDS,#N/A,ETF,ETF
SCO,#N/A,ETF,ETF
SB,"Safe Bulkers, Inc",Transportation,Marine Transportation
SCS,Steelcase Inc.,Consumer Durables,Office Equipment/Supplies/Services
SCSS,Select Comfort Corporation,Consumer Durables,Home Furnishings
SCVL,"Shoe Carnival, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
SDD,#N/A,ETF,ETF
SDOW,#N/A,ETF,ETF
SDP,#N/A,ETF,ETF
SNV,Synovus Financial Corp.,Finance,Major Banks
SCL,Stepan Company,Basic Industries,Package Goods/Cosmetics
RSTI,"Rofin-Sinar Technologies, Inc.",Miscellaneous,Industrial Machinery/Components
ROM,#N/A,ETF,ETF
ROP,"Roper Technologies, Inc.",Capital Goods,Industrial Machinery/Components
ROST,"Ross Stores, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
ROVI,Rovi Corporation,Miscellaneous,Multi-Sector Companies
RPM,RPM International Inc.,Basic Industries,Paints/Coatings
RRC,Range Resources Corporation,Energy,Oil & Gas Production
RRD,R.R. Donnelley & Sons Company,Miscellaneous,Publishing
SBLK,Star Bulk Carriers Corp.,Transportation,Marine Transportation
RSG,"Republic Services, Inc.",Public Utilities,Environmental Services
SBAC,SBA Communications Corporation,Consumer Services,Telecommunications Equipment
RTN,Raytheon Company,Capital Goods,Industrial Machinery/Components
S,Sprint Corporation,Public Utilities,Telecommunications Equipment
SAA,#N/A,ETF,ETF
SAH,"Sonic Automotive, Inc.",Consumer Durables,Automotive Aftermarket
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,Technology,EDP Services
SAN,"Banco Santander, S.A.",Finance,Commercial Banks
SDT,Sandridge Energy Inc.,Energy,Oil & Gas Production
RS,Reliance Steel & Aluminum Co.,Basic Industries,Metal Fabrications
SMDD,#N/A,ETF,ETF
SKF,#N/A,ETF,ETF
SKX,"Skechers U.S.A., Inc.",Consumer Non-Durables,Shoe Manufacturing
SLAB,"Silicon Laboratories, Inc.",Technology,Semiconductors
SLB,Schlumberger N.V.,Energy,Oilfield Services/Equipment
SLG,SL Green Realty Corporation,Consumer Services,Real Estate Investment Trusts
SLM,SLM Corporation,Finance,Finance: Consumer Services
SDRL,Seadrill Limited,Energy,Oil & Gas Production
SM,SM Energy Company,Energy,Oil & Gas Production
SIRI,Sirius XM Holdings Inc.,Consumer Services,Broadcasting
SMN,#N/A,ETF,ETF
SMP,"Standard Motor Products, Inc.",Capital Goods,Auto Parts:O.E.M.
SMRT,"Stein Mart, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
SMSMY,#N/A,ETF,ETF
SNA,Snap-On Incorporated,Capital Goods,Industrial Machinery/Components
SNDK,SanDisk Corporation,Technology,Electronic Components
TMV,#N/A,ETF,ETF
SLW,Silver Wheaton Corp,Basic Industries,Precious Metals
SHLD,Sears Holdings Corporation,Consumer Services,Department/Specialty Retail Stores
SDY,#N/A,ETF,ETF
SE,Spectra Energy Corp,Public Utilities,Oil & Gas Production
SEE,Sealed Air Corporation,Basic Industries,Major Chemicals
SEED,Origin Agritech Limited,Consumer Non-Durables,Farming/Seeds/Milling
SEIC,SEI Investments Company,Finance,Investment Bankers/Brokers/Service
SFE,"Safeguard Scientifics, Inc.",Finance,Finance/Investors Services
SFLY,"Shutterfly, Inc.",Miscellaneous,Other Consumer Services
SJM,J.M. Smucker Company (The),Consumer Non-Durables,Packaged Foods
SHG,Shinhan Financial Group Co Ltd,Finance,Major Banks
SIRO,"Sirona Dental Systems, Inc.",Health Care,Medical/Dental Instruments
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals
SHOO,"Steven Madden, Ltd.",Consumer Non-Durables,Shoe Manufacturing
SHW,Sherwin-Williams Company (The),Consumer Services,RETAIL: Building Materials
SIFY,Sify Technologies Limited,Technology,Computer Software
SIJ,#N/A,ETF,ETF
SINA,Sina Corporation,Technology,Computer Software
SNI,"Scripps Networks Interactive, Inc",Consumer Services,Television Services
SFYW,Swift Energy Company,Energy,Oil & Gas Production
WFM,"Whole Foods Market, Inc.",Consumer Services,Food Chains
TMK,Torchmark Corporation,Finance,Life Insurance
WCG,"WellCare Health Plans, Inc.",Health Care,Medical Specialities
WDC,Western Digital Corporation,Technology,Electronic Components
WEB,"Web.com Group, Inc.",Technology,Computer Software
WEC,"WEC Energy Group, Inc.",Public Utilities,Power Generation
WETF,Wisdom Tree,Finance,Asset Management
WAT,Waters Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments
WFC,Wells Fargo & Company,Finance,Major Banks
VZ,Verizon Communications Inc.,Public Utilities,Telecommunications Equipment
WG,"Willbros Group, Inc.",Energy,Oilfield Services/Equipment
WHR,Whirlpool Corporation,Consumer Durables,Consumer Electronics/Appliances
WIN,"Windstream Holdings, Inc.",Public Utilities,Telecommunications Equipment
WIT,Wipro Limited,Technology,EDP Services
WLL,Whiting Petroleum Corporation,Energy,Oil & Gas Production
WM,"Waste Management, Inc.",Public Utilities,Environmental Services
WMB,"Williams Companies, Inc. (The)",Public Utilities,Natural Gas Distribution
WF,Woori Bank,Finance,Commercial Banks
VMI,"Valmont Industries, Inc.",Capital Goods,Metal Fabrications
VECO,Veeco Instruments Inc.,Technology,Industrial Machinery/Components
VFC,V.F. Corporation,Consumer Non-Durables,Apparel
VIAV,JDS Uniphase Corporation,Technology,Semiconductors
VIG,#N/A,ETF,ETF
VIIX,VIX Short-Term ETN Velocityshares,Finance,Investment Bankers/Brokers/Service
VIP,VimpelCom Ltd.,Public Utilities,Telecommunications Equipment
WBA,"Walgreens Boots Alliance, Inc.",Health Care,Medical/Nursing Services
VMC,Vulcan Materials Company,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
WRLD,World Acceptance Corporation,Finance,Finance: Consumer Services
VNDA,Vanda Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
VNO,Vornado Realty Trust,Consumer Services,Real Estate Investment Trusts
VOXX,VOXX International Corporation,Consumer Non-Durables,Electronic Components
VRSN,"VeriSign, Inc.",Technology,EDP Services
VTR,"Ventas, Inc.",Consumer Services,Real Estate Investment Trusts
VWO,#N/A,ETF,ETF
VXX,#N/A,ETF,ETF
VIXY,#N/A,ETF,ETF
YUM,"Yum! Brands, Inc.",Consumer Services,Restaurants
XME,#N/A,ETF,Metals
XOM,Exxon Mobil Corporation,Energy,Integrated oil Companies
XOP,#N/A,ETF,ETF
XRAY,DENTSPLY International Inc.,Health Care,Medical/Dental Instruments
XRT,Retail,ETF,Retail
XRX,Xerox Corporation,Miscellaneous,Business Services
WNS,WNS (Holdings) Limited,Miscellaneous,Business Services
YHOO,Yahoo! Inc.,Technology,EDP Services
XLNX,"Xilinx, Inc.",Technology,Semiconductors
YZC,Yanzhou Coal Mining Company Limited,Energy,Coal Mining
ZAGG,ZAGG Inc,Consumer Services,Other Specialty Stores
ZINC,Horsehead Holding Corp.,Capital Goods,Metal Fabrications
ZION,Zions Bancorporation,Finance,Major Banks
ZNGA,Zynga Inc.,Technology,EDP Services
ZNH,China Southern Airlines Company Limited,Transportation,Airlines
ZSL,Silver Short,ETF,Silver
YANG,#N/A,ETF,ETF
XCO,EXCO Resources NL,Energy,Oil & Gas Production
VA,Virgin America Inc.,Transportation,Air Freight/Delivery Services
WSM,"Williams-Sonoma, Inc.",Consumer Services,Home Furnishings
WU,Western Union Company (The),Miscellaneous,Business Services
WWD,"Woodward, Inc.",Energy,Industrial Machinery/Components
WWW,"Wolverine World Wide, Inc.",Consumer Non-Durables,Shoe Manufacturing
WY,Weyerhaeuser Company,Consumer Services,Real Estate Investment Trusts
WYN,Wyndham Worldwide Corp,Consumer Services,Hotels/Resorts
XLV,#N/A,ETF,Healthcare
X,United States Steel Corporation,Basic Industries,Steel/Iron Ore
XLU,Utilities,ETF,Utilities
XEL,Xcel Energy Inc.,Public Utilities,Power Generation
XIN,Xinyuan Real Estate Co Ltd,Basic Industries,Homebuilding
XIV,Daily Inverse VIX ST ETN Velocityshares,Finance,Investment Bankers/Brokers/Service
XL,XL Group plc,Finance,Property-Casualty Insurers
XLE,Energy,ETF,Energy
XLK,Tech,ETF,Technology
WR,"Westar Energy, Inc.",Public Utilities,Power Generation
WYNN,"Wynn Resorts, Limited",Consumer Services,Hotels/Resorts
TXT,Textron Inc.,Capital Goods,Aerospace
TVIX,Daily 2X VIX ST ETN Velocityshares,Finance,Investment Bankers/Brokers/Service
TVIZ,Daily 2X VIX Med-Term ETN Velocityshares,Finance,Investment Bankers/Brokers/Service
TWC,Time Warner Cable Inc,Consumer Services,Television Services
TWIN,"Twin Disc, Incorporated",Technology,Industrial Machinery/Components
TWM,Inverse,ETF,ETF
TWX,Time Warner Inc.,Consumer Services,Television Services
UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductors
TXN,Texas Instruments Incorporated,Technology,Semiconductors
TTM,Tata Motors Ltd,Capital Goods,Auto Manufacturing
TYBS,#N/A,ETF,ETF
TYC,Tyco International plc,Consumer Services,Other Consumer Services
TYPE,Monotype Imaging Holdings Inc.,Technology,EDP Services
TZA,Inverse ETF,ETF,ETF
TZOO,Travelzoo Inc.,Technology,EDP Services
UAL,"United Continental Holdings, Inc.",Transportation,Air Freight/Delivery Services
VAR,"Varian Medical Systems, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
TX,Ternium S.A.,Basic Industries,Steel/Iron Ore
TRV,"The Travelers Companies, Inc.",Finance,Property-Casualty Insurers
TNA,#N/A,ETF,ETF
TNH,"Terra Nitrogen Company, L.P.",Basic Industries,Agricultural Chemicals
TOL,Toll Brothers Inc.,Capital Goods,Homebuilding
TPC,Tutor Perini Corporation,Basic Industries,General Bldg Contractors - Nonresidential Bldgs
TPX,"Tempur Sealy International, Inc.",Consumer Durables,Home Furnishings
TQQQ,ProShares UltraPro QQQ,ETF,n/a
TRN,"Trinity Industries, Inc.",Capital Goods,Railroads
TUP,Tupperware Brands Corporation,Consumer Non-Durables,Plastic Products
TRS,TriMas Corporation,Capital Goods,Industrial Specialties
TTMI,"TTM Technologies, Inc.",Technology,Electrical Products
TS,Tenaris S.A.,Basic Industries,Steel/Iron Ore
TSL,Trina Solar Limited,Technology,Semiconductors
TSLA,"Tesla Motors, Inc.",Capital Goods,Auto Manufacturing
TSN,"Tyson Foods, Inc.",Consumer Non-Durables,Meat/Poultry/Fish
TSO,Tesoro Corporation,Energy,Integrated oil Companies
TSS,"Total System Services, Inc.",Miscellaneous,Business Services
UDOW,#N/A,ETF,DOW
TROW,"T. Rowe Price Group, Inc.",Finance,Investment Bankers/Brokers/Service
UUP,#N/A,ETF,ETF
URBN,"Urban Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
URTY,#N/A,ETF,ETF
USB,U.S. Bancorp,Finance,Major Banks
USD,#N/A,ETF,ETF
USLV,3X Long Silver ETN Velocityshares,Finance,Investment Bankers/Brokers/Service
USV,#N/A,ETF,ETF
UCO,#N/A,ETF,ETF
UTX,United Technologies Corporation,Capital Goods,Aerospace
UPRO,#N/A,ETF,ETF
UVXY,#N/A,ETF,ETF
UWM,#N/A,ETF,ETF
UWTI,#N/A,ETF,ETF
UXI,#N/A,ETF,ETF
UYG,#N/A,ETF,ETF
UYM,#N/A,ETF,ETF
RMBS,"Rambus, Inc.",Technology,Semiconductors
UTIW,UTi Worldwide Inc.,Transportation,Oil Refining/Marketing
ULTR,Ultrapetrol (Bahamas) Limited,Transportation,Marine Transportation
UEPS,"Net 1 UEPS Technologies, Inc.",Finance,Investment Bankers/Brokers/Service
UFI,"Unifi, Inc.",Consumer Non-Durables,Textiles
UFPI,"Universal Forest Products, Inc.",Basic Industries,Forest Products
UFPT,"UFP Technologies, Inc.",Capital Goods,Containers/Packaging
UFS,Domtar Corporation,Basic Industries,Paper
UGL,Gold,ETF,Gold
UHS,"Universal Health Services, Inc.",Health Care,Hospital/Nursing Management
UPW,#N/A,ETF,ETF
ULTA,"Ulta Salon, Cosmetics & Fragrance, Inc.",Consumer Services,Other Specialty Stores
UPS,"United Parcel Service, Inc.",Transportation,Trucking Freight/Courier Services
UMDD,#N/A,ETF,ETF
UNG,#N/A,ETF,ETF
UNH,UnitedHealth Group Incorporated,Health Care,Medical Specialities
UNM,Unum Group,Finance,Accident &Health Insurance
UNP,Union Pacific Corporation,Transportation,Railroads
UPL,Ultra Petroleum Corp.,Energy,Oil & Gas Production
VALE,VALE S.A.,Basic Industries,Precious Metals
UJB,#N/A,ETF,ETF
MKC,"McCormick & Company, Incorporated",Consumer Non-Durables,Packaged Foods
ROK,"Rockwell Automation, Inc.",Capital Goods,Industrial Machinery/Components
MFG,"Mizuho Financial Group, Inc.",Finance,Major Banks
MG,Mistras Group Inc,Consumer Services,Military/Government/Technical
MGT,MGT Capital Investments Inc,Miscellaneous,Multi-Sector Companies
MHFI,"McGraw Hill Financial, Inc.",Finance,Finance: Consumer Services
MIC,Macquarie Infrastructure Company,Energy,Oil Refining/Marketing
MET,"MetLife, Inc.",Finance,Life Insurance
MJN,Mead Johnson Nutrition Company,Consumer Non-Durables,Packaged Foods
MELI,"MercadoLibre, Inc.",Miscellaneous,Business Services
MKSI,"MKS Instruments, Inc.",Capital Goods,Industrial Machinery/Components
MLNK,"ModusLink Global Solutions, Inc",Miscellaneous,Business Services
MMC,"Marsh & McLennan Companies, Inc.",Finance,Specialty Insurers
MMM,3M Company,Health Care,Medical/Dental Instruments
MNST,Monster Beverage Corporation,Consumer Non-Durables,Beverages (Production/Distribution)
MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling
MOD,Modine Manufacturing Company,Capital Goods,Auto Parts:O.E.M.
MIDD,The Middleby Corporation,Technology,Industrial Machinery/Components
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services
MCHP,Microchip Technology Incorporated,Technology,Semiconductors
MCK,McKesson Corporation,Health Care,Other Pharmaceuticals
MCO,Moody&#39;s Corporation,Finance,Finance: Consumer Services
MCS,Marcus Corporation (The),Consumer Services,Movies/Entertainment
